serialNo,productId,description,startDate,endDate,term,termType,productType,productCategory,isPromotionalPriced,isPreferentiallyPriced,isElectronicallyCollected,isInsuranceProduct,firstPaymentDue,annualInterestRate,standardAnnualInterestRate,discountAnnualInterestRate,isBallonProduct,isCancellationProduct,isStaffAgentRestrictedProduct,isMySalesExclusion,isConsumerProduct,repaymentFrequency,productLayoutId
26,3000002952,Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,12,MO,BL,HS,TRUE,TRUE,TRUE,TRUE,12,383.00,530.00,5.00,TRUE,TRUE,FALSE,FALSE,TRUE,MO,4
27,3000002953,BL_Firma Mies Przelew bez U.2016.01,2016-01-25T00:00:00 Z,NULL,12,MO,CL,HC,TRUE,FALSE,FALSE,TRUE,28,349.00,972.00,3.00,TRUE,TRUE,FALSE,FALSE,FALSE,MO,2
28,3000002958,BR Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,BL,MT,FALSE,FALSE,TRUE,FALSE,26,320.00,758.00,2.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,3
29,3000002959,BR Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,CL,CDE,FALSE,FALSE,TRUE,TRUE,4,733.00,561.00,1.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,1
30,3000002960,BR Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,BL,HS,TRUE,TRUE,TRUE,TRUE,16,358.00,952.00,7.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,2
31,3000002961,BR Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,CL,HC,FALSE,FALSE,TRUE,FALSE,12,31.00,981.00,7.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,2
32,3000002962,BR Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,BL,MT,FALSE,FALSE,FALSE,TRUE,11,826.00,620.00,1.00,TRUE,TRUE,TRUE,FALSE,FALSE,MO,5
33,3000002963,BR Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,CL,CDE,TRUE,TRUE,FALSE,TRUE,3,875.00,759.00,7.00,FALSE,FALSE,FALSE,FALSE,TRUE,MO,6
34,3000002964,BR Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,BL,HS,TRUE,FALSE,TRUE,FALSE,16,615.00,220.00,7.00,TRUE,FALSE,FALSE,FALSE,FALSE,WK,2
35,3000002965,BR Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,CL,HC,TRUE,FALSE,TRUE,TRUE,17,642.00,951.00,4.00,FALSE,FALSE,FALSE,FALSE,FALSE,WK,5
36,3000002966,BR Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,BL,MT,FALSE,TRUE,FALSE,TRUE,7,142.00,30.00,8.00,FALSE,TRUE,TRUE,FALSE,TRUE,WK,1
37,3000002967,Doradca Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,CDE,TRUE,TRUE,FALSE,TRUE,9,319.00,266.00,4.00,TRUE,TRUE,TRUE,FALSE,FALSE,MO,4
38,3000002968,BR Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,BL,HS,TRUE,FALSE,FALSE,TRUE,8,533.00,557.00,7.00,TRUE,TRUE,FALSE,FALSE,TRUE,MO,6
39,3000002969,Doradca Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,HC,FALSE,TRUE,TRUE,FALSE,28,929.00,952.00,1.00,FALSE,TRUE,FALSE,FALSE,FALSE,WK,5
40,3000002970,Doradca Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,BL,MT,FALSE,TRUE,FALSE,FALSE,6,388.00,308.00,6.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,6
41,3000002971,Doradca Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,CL,CDE,FALSE,FALSE,FALSE,FALSE,14,621.00,532.00,6.00,FALSE,FALSE,TRUE,FALSE,TRUE,MO,2
42,3000002972,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,BL,HS,TRUE,FALSE,FALSE,FALSE,8,641.00,45.00,10.00,TRUE,TRUE,TRUE,FALSE,FALSE,WK,3
43,3000002973,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,CL,HC,FALSE,FALSE,TRUE,TRUE,19,252.00,627.00,3.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,2
44,3000002974,Doradca Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,MT,FALSE,FALSE,FALSE,FALSE,21,341.00,68.00,5.00,TRUE,FALSE,TRUE,FALSE,TRUE,MO,1
45,3000002975,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,CDE,FALSE,FALSE,FALSE,FALSE,17,438.00,245.00,3.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,1
46,3000002976,Doradca Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,HS,FALSE,FALSE,TRUE,TRUE,24,149.00,260.00,7.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,6
47,3000002977,Doradca Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,CL,HC,FALSE,FALSE,FALSE,FALSE,23,523.00,972.00,6.00,TRUE,TRUE,TRUE,FALSE,FALSE,MO,6
48,3000002978,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,BL,MT,FALSE,FALSE,FALSE,FALSE,26,260.00,910.00,8.00,TRUE,TRUE,FALSE,FALSE,FALSE,MO,5
49,3000002979,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,CL,CDE,FALSE,FALSE,TRUE,TRUE,20,267.00,335.00,4.00,TRUE,TRUE,TRUE,FALSE,TRUE,WK,4
50,3000002980,Doradca Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,BL,HS,FALSE,TRUE,TRUE,TRUE,29,414.00,607.00,1.00,TRUE,TRUE,TRUE,FALSE,TRUE,MO,3
51,3000002981,BR Firma Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,CL,HC,TRUE,FALSE,TRUE,TRUE,19,43.00,111.00,8.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,4
52,3000002982,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,BL,MT,TRUE,TRUE,FALSE,TRUE,19,158.00,788.00,2.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,4
53,3000002983,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,CL,CDE,TRUE,FALSE,FALSE,TRUE,17,914.00,616.00,7.00,FALSE,FALSE,TRUE,FALSE,TRUE,MO,1
54,3000002984,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,BL,HS,FALSE,FALSE,FALSE,TRUE,7,484.00,565.00,8.00,FALSE,TRUE,TRUE,FALSE,TRUE,MO,2
55,3000002985,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,CL,HC,TRUE,FALSE,TRUE,TRUE,13,55.00,552.00,7.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,5
56,3000002986,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,BL,MT,TRUE,FALSE,TRUE,TRUE,4,490.00,47.00,7.00,TRUE,FALSE,FALSE,FALSE,FALSE,WK,4
57,3000002987,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,CDE,TRUE,FALSE,TRUE,FALSE,8,879.00,753.00,6.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,5
58,3000002988,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,BL,HS,TRUE,TRUE,TRUE,TRUE,27,674.00,479.00,2.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,5
59,3000002989,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,CL,HC,TRUE,FALSE,FALSE,FALSE,22,935.00,901.00,7.00,TRUE,TRUE,TRUE,FALSE,TRUE,WK,3
60,3000002990,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,MT,FALSE,FALSE,FALSE,FALSE,15,71.00,6.00,8.00,TRUE,FALSE,TRUE,FALSE,TRUE,MO,3
61,3000002991,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,CL,CDE,FALSE,TRUE,TRUE,FALSE,20,273.00,109.00,3.00,TRUE,FALSE,FALSE,FALSE,FALSE,WK,2
62,3000002992,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,HS,FALSE,FALSE,TRUE,FALSE,24,579.00,446.00,3.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,1
63,3000002993,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,CL,HC,FALSE,TRUE,FALSE,FALSE,4,208.00,455.00,2.00,TRUE,TRUE,TRUE,FALSE,TRUE,MO,3
64,3000002994,BR Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,BL,MT,TRUE,FALSE,FALSE,TRUE,25,921.00,168.00,7.00,TRUE,FALSE,FALSE,FALSE,FALSE,MO,6
65,3000002995,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,CL,CDE,FALSE,TRUE,TRUE,TRUE,14,216.00,981.00,10.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,4
66,3000002996,BR Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,BL,HS,FALSE,FALSE,FALSE,FALSE,10,817.00,924.00,2.00,TRUE,FALSE,TRUE,FALSE,TRUE,MO,2
67,3000002997,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,CL,HC,TRUE,FALSE,FALSE,TRUE,6,485.00,216.00,4.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,5
68,3000002998,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,BL,MT,TRUE,FALSE,TRUE,TRUE,5,916.00,130.00,3.00,TRUE,FALSE,TRUE,FALSE,FALSE,MO,4
69,3000002999,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,CDE,FALSE,FALSE,FALSE,FALSE,21,371.00,37.00,8.00,FALSE,FALSE,FALSE,FALSE,FALSE,WK,5
70,3000003000,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,BL,HS,TRUE,TRUE,FALSE,TRUE,19,901.00,783.00,7.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,4
71,3000003001,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,CL,HC,TRUE,FALSE,FALSE,TRUE,15,325.00,311.00,10.00,TRUE,FALSE,TRUE,FALSE,TRUE,WK,5
72,3000003002,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,MT,FALSE,TRUE,TRUE,FALSE,2,985.00,960.00,7.00,TRUE,TRUE,TRUE,FALSE,TRUE,WK,5
73,3000003003,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,CL,CDE,FALSE,FALSE,FALSE,TRUE,25,668.00,397.00,10.00,TRUE,TRUE,TRUE,FALSE,TRUE,WK,6
74,3000003004,Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,BL,HS,TRUE,FALSE,FALSE,FALSE,12,359.00,27.00,3.00,FALSE,TRUE,FALSE,FALSE,TRUE,WK,2
75,3000003005,Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,CL,HC,FALSE,TRUE,TRUE,TRUE,5,33.00,729.00,9.00,TRUE,TRUE,TRUE,FALSE,FALSE,MO,6
76,3000003026,E2E Firma Mies Przelew bez U 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,BL,MT,TRUE,FALSE,TRUE,TRUE,24,328.00,167.00,8.00,TRUE,TRUE,FALSE,FALSE,FALSE,WK,3
77,3000003027,E2E Firma Mies Przelew bez U 2016.03,2016-03-01T00:00:00 Z,NULL,9,MO,CL,CDE,FALSE,FALSE,FALSE,TRUE,20,351.00,740.00,2.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,2
78,3000003028,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,BL,HS,TRUE,FALSE,TRUE,TRUE,28,421.00,512.00,2.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,5
79,3000003029,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,CL,HC,TRUE,TRUE,TRUE,TRUE,10,913.00,683.00,8.00,TRUE,TRUE,TRUE,FALSE,FALSE,WK,3
80,3000003030,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,BL,MT,TRUE,TRUE,TRUE,TRUE,2,554.00,888.00,9.00,FALSE,TRUE,TRUE,FALSE,FALSE,MO,2
81,3000003031,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,45,WE,CL,CDE,TRUE,TRUE,TRUE,TRUE,24,549.00,429.00,3.00,TRUE,TRUE,FALSE,FALSE,FALSE,WK,1
82,3000003032,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,BL,HS,TRUE,FALSE,TRUE,FALSE,14,207.00,925.00,7.00,TRUE,TRUE,FALSE,FALSE,TRUE,MO,4
83,3000003033,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,60,WE,CL,HC,FALSE,FALSE,TRUE,FALSE,17,93.00,790.00,10.00,FALSE,TRUE,TRUE,FALSE,TRUE,WK,1
84,3000003034,Doradca Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,BL,MT,TRUE,FALSE,TRUE,FALSE,2,546.00,923.00,1.00,FALSE,TRUE,FALSE,FALSE,FALSE,WK,1
85,3000003035,Doradca Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,CL,CDE,FALSE,TRUE,FALSE,TRUE,14,762.00,317.00,2.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,3
86,3000003036,Doradca Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,BL,HS,TRUE,TRUE,FALSE,TRUE,3,491.00,375.00,7.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,5
87,3000003037,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,CL,HC,FALSE,FALSE,TRUE,FALSE,3,600.00,780.00,3.00,FALSE,TRUE,FALSE,FALSE,TRUE,MO,1
88,3000003038,Doradca Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,BL,MT,TRUE,FALSE,FALSE,FALSE,28,87.00,950.00,8.00,TRUE,TRUE,FALSE,FALSE,TRUE,MO,1
89,3000003039,Doradca Mies Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,CL,CDE,FALSE,TRUE,TRUE,TRUE,6,279.00,627.00,10.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,1
90,3000003040,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,75,WE,BL,HS,FALSE,FALSE,TRUE,FALSE,19,519.00,499.00,5.00,TRUE,TRUE,TRUE,FALSE,FALSE,WK,6
91,3000003041,Doradca Mies Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,CL,HC,TRUE,FALSE,FALSE,TRUE,3,381.00,393.00,8.00,FALSE,TRUE,TRUE,FALSE,TRUE,WK,2
92,3000003042,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,BL,MT,FALSE,TRUE,FALSE,FALSE,19,14.00,532.00,5.00,TRUE,TRUE,FALSE,FALSE,TRUE,WK,3
93,3000003043,Mies Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,CL,CDE,FALSE,TRUE,TRUE,TRUE,8,678.00,257.00,2.00,TRUE,TRUE,FALSE,FALSE,FALSE,MO,4
94,3000003044,Mies Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,BL,HS,FALSE,TRUE,TRUE,FALSE,13,383.00,32.00,7.00,FALSE,FALSE,TRUE,FALSE,TRUE,WK,5
95,3000003045,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,90,WE,CL,HC,FALSE,TRUE,TRUE,TRUE,13,194.00,448.00,10.00,FALSE,FALSE,TRUE,FALSE,TRUE,WK,1
96,3000003046,Mies Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,BL,MT,TRUE,TRUE,TRUE,TRUE,10,666.00,696.00,5.00,TRUE,FALSE,TRUE,FALSE,TRUE,WK,2
97,3000003047,Mies Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,CL,CDE,TRUE,FALSE,FALSE,TRUE,16,176.00,304.00,9.00,FALSE,TRUE,FALSE,FALSE,FALSE,MO,6
98,3000003048,Mies Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,BL,HS,TRUE,FALSE,TRUE,TRUE,28,363.00,64.00,7.00,TRUE,FALSE,TRUE,FALSE,FALSE,WK,3
99,3000003049,Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,CL,HC,FALSE,FALSE,TRUE,FALSE,16,382.00,930.00,1.00,FALSE,FALSE,FALSE,FALSE,FALSE,WK,1
100,3000003050,Mies Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,12,MO,BL,MT,TRUE,FALSE,TRUE,TRUE,20,226.00,488.00,8.00,TRUE,TRUE,TRUE,FALSE,TRUE,MO,1
101,3000003051,Mies Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,CL,CDE,TRUE,FALSE,TRUE,FALSE,18,416.00,45.00,1.00,FALSE,FALSE,FALSE,FALSE,TRUE,WK,2
102,3000003052,Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,104,WE,BL,HS,TRUE,FALSE,TRUE,FALSE,4,381.00,464.00,6.00,FALSE,TRUE,FALSE,FALSE,TRUE,WK,3
103,3000003053,Mies Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,18,MO,CL,HC,TRUE,TRUE,TRUE,TRUE,16,473.00,818.00,3.00,FALSE,TRUE,TRUE,FALSE,FALSE,WK,4
104,3000003054,Mies Gotówka PP_P2 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,BL,MT,FALSE,FALSE,FALSE,FALSE,11,479.00,829.00,5.00,FALSE,FALSE,TRUE,FALSE,FALSE,WK,5
105,3000003055,Mies Gotówka PP_P2 2016.03,2016-03-01T00:00:00 Z,NULL,24,MO,CL,CDE,FALSE,TRUE,TRUE,TRUE,19,283.00,37.00,4.00,FALSE,TRUE,FALSE,FALSE,FALSE,MO,5
106,3000003056,Gotówka bez U 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,BL,HS,TRUE,TRUE,TRUE,TRUE,27,836.00,618.00,7.00,FALSE,FALSE,FALSE,FALSE,FALSE,WK,2
107,3000003057,Mies Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,CL,HC,FALSE,FALSE,FALSE,FALSE,19,577.00,958.00,3.00,FALSE,TRUE,FALSE,FALSE,TRUE,WK,4
108,3000003058,Mies Gotówka PP_P3 2016.03,2016-03-01T00:00:00 Z,NULL,3,MO,BL,MT,TRUE,TRUE,FALSE,FALSE,24,45.00,522.00,1.00,FALSE,FALSE,FALSE,FALSE,FALSE,MO,5
109,3000003059,Gotówka 2016.03,2016-03-01T00:00:00 Z,NULL,30,WE,CL,CDE,FALSE,FALSE,FALSE,FALSE,26,963.00,357.00,7.00,TRUE,TRUE,FALSE,FALSE,FALSE,MO,4
110,3000003060,Mies Gotówka PP_P3 bez U 2016.03,2016-03-01T00:00:00 Z,NULL,6,MO,BL,HS,TRUE,FALSE,FALSE,FALSE,3,366.00,802.00,10.00,FALSE,TRUE,FALSE,FALSE,FALSE,WK,4
